10.1.78.157 - - [15/Feb/2019:11:35:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:37:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:37:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:39:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:39:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:41:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:41:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:43:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:43:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:45:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:45:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:47:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:47:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:49:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:49:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:51:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:51:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:53:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:53:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:55:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:55:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:57:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:57:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:59:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:59:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:12:01:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:12:01:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:12:03:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:12:03:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:12:05:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:12:05:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:12:07:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:12:07:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:12:09:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:12:09:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:12:11:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:12:11:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:12:13:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:12:13:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:12:15:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:12:15:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:12:17:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:12:17:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:12:19:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:12:19:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:12:21:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:12:21:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:12:23:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:12:23:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:12:25:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
